,Title,Company,Location,Salary,Posted
97,"('Programmer PHP',)","('PT. Kirana Exim Internasional',)","('Yogyakarta',)","IDR 3,000,000 - 5,000,000",29 Apr - 1:00 AM
98,"('IT Programmer',)","('PT Plaza Nusantara Realti',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,28 Apr - 11:17 PM
99,"('IT Programmer',)","('PT Moladin Digital Indonesia',)","('Jakarta Selatan (Jakarta Raya) - Petukangan Utara',)",Above Expected Salary,28 Apr - 8:03 PM
100,"('Mobile Programmer',)","('Bintang Pelajar (Bimbingan Belajar)',)","('Bogor (Jawa Barat)',)","IDR 4,500,000 - 5,850,000",28 Apr - 12:09 PM
101,"('IT Programmer (Tangerang)',)","('PT Kelly Services Indonesia',)","('Jakarta Raya',)","IDR 7,000,000 - 10,000,000",28 Apr - 9:54 AM
102,"('IT - Programmer',)","('PT Bank Victoria International, Tbk',)","('Jakarta Selatan (Jakarta Raya) - Graha BIP, Gatot Subroto',)",Above Expected Salary,28 Apr - 9:52 AM
103,"('.NET Programmer',)","('PT CycleSoft Technology',)","('Jakarta Raya',)",Above Expected Salary,28 Apr - 2:34 AM
104,"('',)","('',)","('',)",,
105,"('Programmer DotNet penempatan Karawang',)","('PT Hiro Sentra Global',)","('Karawang (Jawa Barat)',)","IDR 7,000,000 - 9,000,000",27 Apr - 6:50 PM
106,"('Bootcamp IT Consultant / Programmer (Fresh Graduate)',)","('PT Indocyber Global Teknologi',)","('Jakarta Selatan (Jakarta Raya) - Wisma STACO',)",Above Expected Salary,27 Apr - 6:25 PM
107,"('Programmer',)","('PT Natura Laboratoria Prima',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,27 Apr - 3:08 PM
108,"('Front End Web Programmer',)","('PT. Berkat Bejana Anugerah',)","('Surabaya (Jawa Timur) - Surabaya Barat - Mayjend Sungkono',)","IDR 5,000,000 - 10,000,000",27 Apr - 2:47 PM
109,"('IT Programmer',)","('PT. Bumimulia Indah Lestari',)","('Cikarang (Jawa Barat) - Jl. Jababeka XVI Blok V No. 65A Cikarang, Bekasi',)","IDR 4,500,000 - 5,850,000",27 Apr - 12:05 PM
110,"('PROGRAMMER (Medan Based)',)","('PT Wilmar Consultancy Services',)","('Medan (Sumatera Utara)',)",Above Expected Salary,27 Apr - 10:26 AM
111,"('Programmer',)","('PT Patra Nusa Data',)","('Banten, Jakarta Raya, Jawa Barat, Yogyakarta',)",Above Expected Salary,27 Apr - 12:17 AM
112,"('CNC Programmer (Wood Working)',)","('PT SAS Kreasindo Utama',)","('Tegal (Jawa Tengah)',)","IDR 3,000,000 - 4,000,000",26 Apr - 4:15 PM
113,"('Programmer (PRG-ITD)',)","('PT Artajasa Pembayaran Elektronis',)","('Tangerang (Banten) - BSD',)",Above Expected Salary,26 Apr - 1:00 AM
114,"('Web Master & IT Programmer Head',)","('Teguk Indonesia',)","('Banten - BSD - Tangerang Selatan',)","IDR 5,000,000 - 6,500,000",26 Apr - 1:00 AM
115,"('Desktop Programmer Developer',)","('Pt. Sistem Teknologi Regularisasi Elektronik Aktivitas Millenial',)","('Medan (Sumatera Utara)',)",Above Expected Salary,25 Apr - 1:00 AM
116,"('Programmer Front end',)","('Mega Kreasi Tech',)","('Jakarta Selatan (Jakarta Raya) - cilandak',)",Above Expected Salary,25 Apr - 1:00 AM
117,"('IT Programmer',)","('PT Petra Sejahtera Abadi',)","('Tangerang (Banten) - Serpong',)","IDR 5,000,000 - 6,500,000",25 Apr - 1:00 AM
118,"('Senior .NET Programmer',)","('PT Datacaraka Solusindo',)","('Jakarta Raya',)",Above Expected Salary,25 Apr - 1:00 AM
119,"('IT Programmer',)","('PT Ki-Antaka Rasa',)","('Jakarta Barat (Jakarta Raya) - Kebon Jeruk',)",Above Expected Salary,25 Apr - 1:00 AM
